City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Morden,CA,2022-07-27 02:20:07,49.1919,-98.1014,67.84,72,100,2.3
148,Kinablangan,PH,2022-07-27 02:20:08,7.6947,126.5503,84.45,68,98,3.09
149,Colorado,BR,2022-07-27 02:20:08,-22.8375,-51.9731,68.88,46,0,4.88
150,Lensk,RU,2022-07-27 02:20:09,60.7253,114.9278,80.17,54,62,5.95
151,Aykhal,RU,2022-07-27 02:20:09,66.0,111.5,78.31,62,6,16.62
152,Kruisfontein,ZA,2022-07-27 02:20:09,-34.0033,24.7314,51.89,78,80,17.81
153,Belyy Yar,RU,2022-07-27 02:20:09,53.6039,91.3903,59.86,83,83,2.24
154,Banting,MY,2022-07-27 02:20:10,2.8167,101.5,84.56,83,94,6.62
155,Lithakia,GR,2022-07-27 02:20:10,37.7167,20.8333,72.68,94,0,1.14
156,Auki,SB,2022-07-27 02:17:39,-8.7676,160.7034,86.4,60,63,2.71
157,Vanimo,PG,2022-07-27 02:20:11,-2.6741,141.3028,85.57,65,82,7.16
158,Vuktyl,RU,2022-07-27 02:20:11,63.8567,57.3094,53.51,69,54,0.83
159,Thompson,CA,2022-07-27 02:20:11,55.7435,-97.8558,59.16,77,75,9.22
160,Codrington,AU,2022-07-27 02:19:43,-38.2667,141.9667,56.05,79,100,14.56
161,Olafsvik,IS,2022-07-27 02:18:40,64.8945,-23.7142,53.33,97,100,15.59
162,Pacific Grove,US,2022-07-27 02:16:21,36.6177,-121.9166,68.2,83,40,8.05
163,Nishihara,JP,2022-07-27 02:20:12,26.1842,127.7558,89.26,72,40,12.66
164,Ulaangom,MN,2022-07-27 02:20:12,49.9811,92.0667,63.05,49,85,4.43
165,Anuppur,IN,2022-07-27 02:20:13,23.1,81.6833,79.36,80,100,3.76
166,Geraldton,AU,2022-07-27 02:20:13,-28.7667,114.6,59.41,67,0,14.97
167,Sur,OM,2022-07-27 02:20:13,22.5667,59.5289,81.19,77,82,15.01
168,Banjar,ID,2022-07-27 02:15:37,-8.19,114.9675,84.97,61,3,1.12
169,Aden,YE,2022-07-27 02:20:14,12.7794,45.0367,83.48,72,99,11.03
